id,title,region,full_address,email,phone,about
13,Beertopia,Midtown,"3578 Farnam St, Omaha, NE 68131",,(402) 905-2603,Stop in our bottle shop to explore one of the largest selections of retail craft beer in the Midwest.
14,Benson Brewery,Central,"6059 Maple St, Omaha, NE 68104",info@bensonbrewery.com,(402) 934-8668,"Housed in a remodeled 1910s movie theatre, Benson Brewery is a turn of the century-meets-modern restaurant and brewery specializing in artisan food & house beer. A cozy neighborhood brew-pub, we welcome all who look for friendly company, good conversation, fresh brews and solid drinks."
15,Biaggi's Ristorante Italiano,Northwest,"13655 California, Omaha, NE 68154",,(402) 965-9800,"Fresh. Relaxed. Delicious. At Biaggi’s, we believe that your dining experience should be just that...an experience."
16,Big Fred's Pizza Garden,Southwest,"1101 S 119th St, Omaha, NE 68144",,(402) 333-4414,Family-run pizzeria and sports bar open since 1965 dishing up a range of cheesy pies and pub grub.
17,Big Mama's Kitchen and Catering,North Omaha,"2112 N 30th St #201, Omaha, NE 68111",,(402) 455-6262,"Big Mama's Kitchen & Catering specializes in Soul Food and Traditional American cuisine. Our menu includes a diverse variety of uniquely delicious appetizers, cakes, desserts, and dinners.  Big Mama's Kitchen & Catering has been featured on the Cooking Channel, Food Network, Sundance Channel and Travel Channel."
18,Billy Frogg's - Old Market,Downtown / Old Market,"1120 Howard St, Omaha, NE 68102",,(402) 341-4427,"Meet the locals and make new friends at this popular neighborhood bar.  In the heart of the Old Market, Billy Frogg’s offers classic bar food, nightly drink specials and a “buzzy” atmosphere."
19,Blatt Beer & Table North Downtown,Downtown / Old Market,"610 N 12th St, Omaha, NE 68102",,(402) 718-8822,"Blatt Beer & Table is a pub food restaurant and craft beer bar with a warm and inviting atmosphere rooted in local history. We provide a simple space to gather and engage over good food and great beer. You’ll enjoy Blatt Beer & Table as a destination to catch the game, or a gathering place for family and acquaintances.

Join us around the table. The beer is great, and the company is even better."
20,Block 16,Downtown / Old Market,"1611 Farnam St, Omaha, NE 68106",,(402) 342-1220,"Since opening, Block 16 has become a local favorite with die-hard fans lining up and out the door on a daily basis. What keeps folks in line day after day? How about the award winning burgers piled high with all the fixins and covered in a secret sauce that keeps every mouth watering."
21,Blue Sushi Sake Grill Grayhawk Pointe,Northwest,"14450 Eagle Run Dr, Omaha, NE 68144",,(402) 445-2583,"Fresh and energetic, Blue offers an inspired mix of creative sushi for purists and adventurers alike. Happy Hour has put Blue on the map, offering value and variety without sacrificing quality or experience. Blue’s vibrant scene offers a dining experience full of creative flavor and intense with spirited atmosphere. A large maki, sashimi and nigiri menu is complemented by Asian-inspired share plates, soups, salads, desserts and an extensive sake menu."
22,Blue Sushi Sake Grill Old Market,Downtown / Old Market,"416 S 12th St, Omaha, NE 68102",,(402) 408-5566,"Fresh and energetic, Blue offers an inspired mix of creative sushi for purists and adventurers alike. Happy Hour has put Blue on the map, offering value and variety without sacrificing quality or experience. Blue’s vibrant scene offers a dining experience full of creative flavor and intense with spirited atmosphere. A large maki, sashimi and nigiri menu is complemented by Asian-inspired share plates, soups, salads, desserts and an extensive sake menu."
23,Bonefish Grill,Southwest,"120 Regency Pkwy, Omaha, NE 68114",,(402) 391-3474,"Contemporary grill offering a seafood-centric menu, plus steaks and cocktails."
24,Boyd and Charlies BBQ,Northwest,"2706 Main St, Elkhorn, NE 68022",,(402) 289-4772,"Family owned and operated BBQ restaurant. Serving a variety of BBQ sandwiches, dinners and many comfort food options as well. Catering available."
25,Brazen Head Irish Pub,Central,"319 N 78th St, Omaha, NE 68114",,(402) 393-3731,"Brazen Head aims to emulate the rich traditions of true Irish pubs. Inside you'll find a bar designed and built in Ireland, an authentic pub atmosphere, and a menu including the Omaha quintessential Reuben sandwich."
26,Brazen Head Irish Pub,Central,"319 N 78th St, Omaha, NE 68114",,(402) 393-3731,"Brazen Head aims to emulate the rich traditions of true Irish pubs. Inside you'll find a bar designed and built in Ireland, an authentic pub atmosphere, and live music."
27,Brewsky's Food & Spirits,Southwest,"15350 Weir St, Omaha, NE 68127",,(402) 614-2739,Sports Bar
28,Brickway Brewery and Distillery,Downtown / Old Market,"1116 Jackson St, Omaha, NE 68102",info@drinkbrickway.com,(402) 933-2613,Take in the hip atmosphere while sipping craft beer brewed with locally sourced ingredients or an exclusive single malt whiskey. Pet friendly outdoor areas.
29,Brother Sebastian's,Southwest,"1350 S 119th St, Omaha, NE 68144",,(402) 330-0300,Choice cuts delivered by staff dressed as monks in cozy digs with romantic nooks and fireplaces.
30,Cajun Kitchen,Central,"2819 N 30th St, Omaha, NE 68111",,(402) 453-2658,"Cajun Kitchen serves up southern comfort food, fast. Offering a variety of entrees including Jambalaya, fried catfish, red beans and rice, and homemade delicious pies."
31,California Tacos and More,Central,"3235 California St, Omaha, NE 68131",,(402) 342-0212,"""Cali"" taco is known for its signature tacos and Mexican flair. Housemade fried, puffy taco shells are stuffed (and we mean stuffed) with meat, lettuce and cheese."
32,Carrabba's Italian Grill,Northwest,"14520 W Maple Rd, Omaha, NE 68116",,(402) 492-9500,Eatery and bar serving a diverse menu of classic Italian fare in a family-friendly environment.
33,Cascio's Steak House,South Omaha,"1620 S 10th St, Omaha, NE 68108",,(402) 345-8313,"Storied family-owned bar and grill offering steaks, pizza and other Italian fare amid a warm vibe."
34,Charleston's - West Dodge,Northwest,"13851 FNB Pkwy, Omaha, NE 68154",,(402) 431-0023,"Charleston’s is a casual, upbeat restaurant with a modestly priced menu featuring traditional American classics prepared from scratch daily."
35,Charlie's On The Lake,Southwest,"4150 S 144th St, Omaha, NE 68137",,(402) 894-9411,A waterfront patio is one of the features of this American eatery with a lengthy martini list.
36,The Cheesecake Factory,Northwest,"Westroads Mall, 10120 California St, Omaha, NE 68114",,(402) 393-1166,"Famous for large portion sizes, The Cheesecake Factory offers more than 250 menu items made fresh from scratch every day."
37,Choo Choo Bar and Grill,Southwest,"14240 U St, Omaha, NE 68137",,(402) 895-6617,"No-frills restaurant and bar offering pub grub, plus weekly karaoke and poker tournaments."
38,Clancy's Pub - W Center,Southwest,"2905 S 168th St, Omaha, NE 68130",info@clancyspubomaha.com,(402) 505-4400,"With the biggest St. Patrick's Day celebration in Omaha, Clancy's offers the best steaks, burgers, pizza and wings in town."
39,Crescent Moon,Midtown,"3578 Farnam St, Omaha, NE 68131",,(402) 345-1708,The Moon serves up the original Reuben sandwich with their famous Blackstone Reuben. Don't forget to pair your meal with a beer at this fourth-year Draft Magazine's Top 100 Beer Bar in America.
40,Crystal Jade,Central,"7255 Cedar St, Omaha, NE 68124",,(402) 398-1688,Quality food in gracious portions at a reasonable price with beautiful surroundings. Crystal Jade offers a variety of vegetarian and vegan options.
41,Cunninghams Pub and Grill,Northwest,"10904 W Dodge Rd, Omaha, NE 68154",,(402) 934-4385,"We are locally owned and family run...known for our delicious made from scratch hand-pattied Angus beef burgers and smoked wings. You'll find over 33 craft beers on tap in our spacious bar where you can come enjoy a game or two on one of our HD big screens or enjoy a more intimate setting in our separate dining room.

Host your next party or corporate event with access to our projector and let us cater a special meal for your group. We're not your average 'pub grub'! Come check it out for yourself. We also have a monthly beer club with regular tap takeovers so you can sample some unique brews both local and from around the world."
42,Dante,Southwest,"16901 Wright Plz, Omaha, NE 68130",,(402) 932-3078,"Specializing in authentic wood-fired Neapolitan pizza and rustic Italian cuisine, Dante's dishes feature fresh, locally produced ingredients. Enjoy an authentic Italian experience, from the wine list to the menu to the indoor bocce court. Pet friendly outdoor areas."
43,Dave and Busters,Southwest,"2502 S 133rd Plz, Omaha, NE 68144",,(402) 778-3915,A unique entertainment establishment that combines great food with an array of more than 200 games in our Million Dollar Midway. One-of-a-kind experience.
44,Dinker's Bar and Grill,Midtown,"2368 S 29th St, Omaha, NE 68105",,(402) 342-9742,"Considered one of the best places to get a burger by Midwest Living Magazine, Dinker's has been slinging this American favorite for more than 60 years."
45,DJ's Dugout - Downtown,Downtown / Old Market,"1003 Capitol Ave, Omaha, NE 68102",,(402) 763-9974,"DJ's Dugout is Omaha's home for sports, food, and fun – the ultimate sports bar experience. Each location has over 50 HDTV's and projector screens to capture all the action. To go along with ice-cold beer, DJ's cooks up award-winning steaks, wings, burgers, nachos, and much more along with nightly food and drink specials."
46,Dolci Ice Cream & Desserts,Downtown / Old Market,"1003 Howard St, Omaha, NE 68102",,(402) 345-8198,"Cool down with authentic Italian desserts, Flavorburst & CrunchiCreme ice cream and more. Find us  in Omaha's Old Market."
47,Dos De Oros,South Omaha,"3310 S 24th, Omaha, NE 68105",,(402) 321-2490,Dos De Oros aka The Taco Truck. This local favorite serves up a variety of traditional Mexican tacos.
48,Dundee Dell,Central,"5007 Underwood Ave, Omaha, NE 68132",,(402) 553-9501,"The Dundee Dell is an Omaha staple of over 80 years, and they've been serving up their Reuben with top-secret sauce for just as long. Home of celebrity clientele and the largest single malt collection in the USA."
49,eCreamery Ice Cream and Gelato,Central,"5001 Underwood Ave, Omaha, NE 68132",thescoop@eCreamery.com,(402) 934-3888,"eCreamery offers 16 ever-rotating, daily flavors of specialty ice cream, gelato & dairy free sorbet! Seen on Shark Tank, The New York Times and Oprah. Home of the Buffet/McCartney “$63 Billion Dollar Selfie,” eCreamery is famous for its custom creations hand churned in the Omaha parlor. 

Design your own flavor, complete with personalized titles, at eCreamery.com. Ships nationwide."
50,Eileen's Colossal Cookies,Central,"14532 West Center Road, Multiple locations, Omaha, NE 68144",,402-697-5155,Family owned franchise committed to making the best cookies you'll ever taste.
51,El Alamo,South Omaha,"4917 S 24th St, Omaha, NE 68107",,(402) 731-8969,"El Alamo is known for authentic and traditional Mexican cuisine. With generations of family recipes at their disposal, every dish is layered with flavors and steeped in tradition. Feast on tasty dishes like enchiladas rancheras, carnitas de res, and carne adobada.

Order from El Alamo in Omaha, for pickup and delivery, through SkipTheDishes.com!"
52,El Bees,Northwest,"3200 N 240th St, Waterloo, NE 68069",,(402) 779-2725,Authentic TexMex in a relaxed atmosphere with excellent margaritas.
53,El Dorado,South Omaha,"5134 S 24th St, Omaha, NE 68107",,(402) 734-4947,"Here at El Dorado, we specialize in Mexican and seafood dishes. We like to say we take seafood south of the border! We'd love for you to visit us to satisfy all your Mexican and seafood cravings -- right here in Omaha, NE! 

We were founded with the concept of serving authentic Mexican plates, and after years of serving clients, we still hold true to that concept. El Dorado is a great place to enjoy a healthy and comfortable environment with your family and friends."
54,Ethiopian Restaurant,Downtown / Old Market,"2555 Leavenworth St, Omaha, NE 68105",,(402) 345-0265,A cozy little place with great tasting food and served as a dish of the country.
55,Famous Dave's Bar-B-Que,Southwest,"Multiple locations, 12020 Anne St, Omaha, NE 68137",,(402) 829-1616,Serves wood-smoked meats & sides in an American West-themed space. Pet friendly outdoor areas.
56,Farmer Brown's Steak House,West of Omaha,"2620 River Rd, Waterloo, NE 68069",,(402) 779-2353,"Family owned and operated since 1964 and specializing in steaks, seafood, and chicken. Private party rooms are available for your special occasion. No Reservations in our dining room- just come on in! Our entire menu is available for carry-out. We’re dedicated to bringing you the best Nebraska raised beef you’ve ever tasted."
57,FarmHouse Cafe and Bakery,Central,"3461 S 84th St, Omaha, NE 68127",,(402) 393-0640,Relaxed restaurant serving up homestyle American food including casseroles and housemade desserts.
58,Fernando's Cafe and Cantina,Central,"7555 Pacific St, Multiple locations, Omaha, NE 68114",,(402) 399-8006,"A family-oriented Mexican restaurant, Fernando’s was established in 1993 and is known for its commitment to preparing authentic Sonoran-style Mexican recipes, cooked by those who know it best, Mario, Martin, Pasqual and Antonio, and served by the friendliest staff around."
59,Fernando's Cafe and Cantina - N 114th,Southwest,"380 N 114th St, Omaha, NE 68154",fernandoscafeandcantina@gmail.com,(402) 330-5707,"A family-oriented Mexican restaurant, Fernando’s was established in 1993 and is known for its commitment to preparing authentic Sonoran-style Mexican recipes, cooked by those who know it best, Mario, Martin, Pasqual and Antonio, and served by the friendliest staff around."
60,Feta's,Northwest,"Multiple locations, 743 N 114th St, Omaha, NE 68114",,(402) 504-4976,"No-frills Greek food counter spotlighting gyros, sandwiches and platters."
61,Firebirds,Southwest,"Village Pointe, 17415 Chicago St, Omaha, NE 68118",,(402) 359-1340,"The FLAVOR and FLAIR of the ROCKY MOUNTAINS. Experience a vibrant blend of flavors born in the American West- where the wood fire of the cattle ranch meets the bold flavor of the Desert Southwest. This unique style of American cuisine which originated in Aspen, Colorado, welcomes you back to the lodge after a day in the mountains.  It stimulates the senses and relaxes the soul, transporting you to a special place like no other. We hope you enjoy your trip."
62,Firewater Grille,Central,"7007 Grover St, Omaha, NE 68106",,(402) 452-3473,"Located inside the Comfort Inn & Suites, the Firewater Grille serves classic American favorites with live music and special events."
63,Fleming's Prime Steakhouse,Southwest,"140 Regency Pkwy, Omaha, NE 68114",,(402) 393-0811,Fleming's of Omaha is located on Regency Parkway just a half-mile south of Dodge. Here you’ll discover an exceptional dining experience driven by a passion for steak and wine.
64,For the Love of Food Truck,South of Metro,"1902 Galvin Rd St, Bellevue, NE 68005",,(402) 968-9734,Homemade Southwestern style Mexican food served fresh daily and made to order.
65,Frank's Pizzeria,Northwest,"711 N 132nd St, Omaha, NE 68154",,(402) 493-0404,New York style pizza and red sauce pastas served in a straightforward space with sports on TV.
66,Genji Japanese,Southwest,"14505 W Center Rd, Omaha, NE 68144",,(402) 333-8338,"Stylish option with an upscale teppenyaki grills in smart surrounds, sushi rolls and specialty cocktails."
67,Godfather's Pizza,Central,,,(402) 558-0110,A true Omaha original offering fresh pizzas with the signature crust. Pet-friendly outdoor areas.
68,Goldbergs in Dundee,Central,"5008 Dodge St, Omaha, NE 68132",,(402) 556-2006,"Located in Omaha's historic Dundee neighborhood serving up the burgers, Reubens, flavored bread puddings, daily specials, beers and Bloody Marys you want during your Omaha Weekend. Pet friendly outdoor areas."
69,Gorat’s Steak House,Central,"4917 Center St, Omaha, NE 68106",gorats@goratsomaha.com,(402) 551-3733,"Now serving lunch on Fridays starting at 11am!An Omaha favorite for more than 70 years, Gorat’s has built a reputation on serving quality steaks, Italian dishes, and fresh seafood. Look to a neighboring table and you may just see a billionaire savoring a steak too."
70,Great Wall,Central,"3033 S 84th St, Omaha, NE 68123",,(402) 393-5377,Enjoy a night out on the town at Great Wall and score food and beverage deals and steals. Take your meal to the next level and treat yourself to an upscale Chinese dish.
71,Greek Islands,Midtown,"3821 Center St, Omaha, NE 68105",,(402) 346-1528,Veteran taverna open since 1983 featuring a whitewashed decor that matches the Mediterranean menu.
72,Greenbelly,Southwest,"210 N 114th St, Omaha, NE 68154",info@thegreenbelly.com,(402) 334-1300,Healthy fine food and an eco-friendly establishment makes Greenbelly a great choice for your dining needs.
73,Greenbelly - Elkhorn,Southwest,"1405 S 204th St, Suite 101, Elkhorn, NE 68022",info@thegreenbelly.com,(402) 504-4700,Greenbelly is all about fresh and healthy fast food served up in an eco-friendly establishment.
74,Guaca Maya,South Omaha,"5002 S 33rd St, Omaha, NE 68107",,(402) 733-3440,"Guaca Maya Mexican Restaurant specializes in Mexican Seafood and providing a fun, family friendly dining experience. With many custom dishes that you won’t find anywhere else in the Midwest, plus a lunch buffet full of constantly rotating dishes make Guaca Maya a unique dining option in South Omaha."
75,Hardy Coffee Co. - Old Market,Downtown / Old Market,"1031 Jones St, Omaha, NE 68102",info@hardycoffee.com,(402) 934-7450,At Hardy Coffee Co. we serve locally roasted coffee and our baked goods are made for you fresh daily at our downtown location.
76,Hartland Bar-B-Que,Central,"5402 NW Radial Hwy, Omaha, NE 68101",,(402) 397-5765,"Family-friendly joint for beef, pork and chicken smoked on-site, with traditional BBQ sides."
77,Heartwood Restaurant (Omaha Marriott Hotel),Central,"10220 Regency Cir, Omaha, NE 68114",,(402) 399-9000,"American style cuisine featuring fresh salads, hearty burgers, and tasty pizzas. Find Heartwood inside of the Omaha Marriott Hotel."
78,Hector’s,Southwest,"1201 S 157th St, Omaha, NE 68130",,(402) 884-2272,"Casual cantina featuring margaritas, familiar Mexican food and baja specialties such as seafood tacos."
79,Hiro 88 - Old Market,Downtown / Old Market,"1308 Jackson St, Omaha, NE 68102",,(402) 933-5168,"Check out this Pan-Asian, fine dining experience in Omaha’s downtown entertainment district."
80,Hiro 88 - West Maple,Northwest,"3655 N 129th St, Omaha, NE 68164",,(402) 933-0091,"Hiro 88 features pan-Asian cuisine with premium-grade sushi and high quality, traditional dishes from China, Japan and Korea."
81,Homy Inn,Central,"1510 N Saddle Creek Rd, Omaha, NE 68104",,(402) 554-5815,Spend the evening toasting with new friends at this Omaha nightlife institution.  Enjoy a variety of beers and champagne on tap!
82,Howard's Charro Cafe,South Omaha,"4443 S 13th St, Omaha, NE 68107",,(402) 731-3776,"Howard’s Charro Café is a must stop in South Omaha if you are looking for authentic Mexican dishes. For over 40 years, Howard’s has served up home-recipe tacos, enchiladas, tamales, and more. Many visitors claim Howard’s has the best enchiladas they’ve had this side of the border. Once the mariachi band starts playing it will be hard to resist ordering up a round of cervezas and loading up another tortilla chip full of homemade salsa. Located just south of the Omaha Zoo."
83,Howlin Hounds Coffee,Downtown / Old Market,"712 S 16th St, Omaha, NE 68102",,(402) 403-9230,"From con pannas to Caramel Sunday Lattes to passion fruit Italian sodas, you'll find a little bit  of everything at Howlin' Hounds Coffee. Enjoy the cozy atmosphere."
84,HuHot Mongolian Grill,Northwest,"990 S 72nd St, Multiple locations, Omaha, NE 68154",omaha3@huhot.com,(402) 933-9550,HuHot Mongolian Grill is a customizable Asian restaurant experience. Create your own unlimited stir fry!
85,Hunan Fusion,Southwest,"2405 S 132nd St, Omaha, NE 68144",hunanfusion@hotmail.com,(402) 334-5382,Hunan Fusion Sushi-Wok-Bar offers delicious tasting Asian fusion cuisine.
86,IceHouse Sports Bar,Northwest,"10920 Emmet St, Omaha, NE 68164",,(402) 934-2337,"We pride ourselves on serving the freshest foods, from our pizza dough made from scratch daily, to our pizza toppings, breads, pastas, and salads. At the IceHouse, you're assured a fresh, delicious meal time after time."
87,International Bakery,South Omaha,"5106 S 24th St, Omaha, NE 68107",,(402) 731-0988,"Located in the heart of South Omaha, the International Bakery offers an authentic Hispanic bakery experience. The aroma of fresh baked goods permeates the South 24th Street and P Street intersection making it irresistible to avoid. Walk in the door and grab a tray and tongs before venturing down the aisle of fresh pastries, bread, and cakes. The items may not be labeled, but at an affordable 50 cents each (or three for $1) you will be compelled to try something new."
88,Jackson Street Tavern,Downtown / Old Market,"1125 Jackson St, Suite 3, Omaha, NE 68102",chefdeke@msn.com,(402) 991-5637,"Stop in for lunch or dinner and try a hand cut, wet aged, grass fed steak (after all you’re in Omaha)!  Enjoy a handpicked bottle of wine or a craft cocktail."
89,Jacobo's,South Omaha,"4621 S 24th St, Omaha, NE 68107",,(402) 733-9009,"Jacobo’s is an authentic Mexican grocery, bakery, & tortilleria. Visit the deli counter for a variety of foods made fresh daily, the most popular being any of the three salsas and handmade corn chips. Enchiladas, flautas, beans, rice, carnitas, and pork tamales are also made fresh daily. All deli orders are take-out and cash only."
90,Jaipur Brewhouse,Northwest,"10922 Elm St, Omaha, NE 68144",gbchhetry@hotmail.com,(402) 392-7331,"For a truly unique craft beer experience, head to Jaipur Brewhouse. This two barrel brewery serves fresh brews to compliment the Indian-fused cuisine."
91,Jams - Midtown,Central,"7814 Dodge St, Omaha, NE 68114",westdodge@jamseats.com,(402) 399-8300,"Jams, an Omaha restaurant legacy, is an American Grill that offers a melting pot of different styles and varieties of food dishes containing high-quality ingredients paired with the optional cold drink or creative cocktail."
92,Jerico's Restaurant,Northwest,"11732 W Dodge Rd, Omaha, NE 68154",,(402) 496-0222,A fixture since 1978 that serves up prime rib and other steakhouse classics in old-school surrounds.
93,Jerze's Sports Bar - Grill and Keno,South of Metro,"501 Olson Dr #100, Papillion, NE 68046",,(402) 934-4394,"Drinks, keno, food and fun!"
94,Jim & Jennie's Greek Village,Northwest,"3026 N 90th St, Omaha, NE 68134",,(402) 571-2857,"Gyro sandwiches, kebab plates and other Greek eats are dished up in an easygoing environment."
95,Jim's Rib Haven,North Omaha,"3801 Ames Ave, Omaha, NE 68111",,(402) 451-8061,"An Omaha institution since 1967, you don't want to miss out on this one-of-a-kind foodie destination. Tender, fall-of-the-bone ribs slathered in a delicious, mouth-watering sauce will have you coming back for more."
97,Johnny’s Italian Steakhouse,Southwest,"305 N 170th St, Omaha, NE 68118",,(402) 289-9210,"Johnny’s Italian Steakhouse, has the Frank Sinatra-Rat Pack ambiance that has become the signature of the brand. Enjoy signature entrees or your favorite steak, Italian or seafood specialties. Our bartender will make your favorite drink at the Blue Bar. Private dining and meeting space for up to 40 guests."
98,Jones Bros Cupcakes,Central,"2121 S 67th St (Aksarben Village), Omaha, NE 68106",,(402) 884-2253,"Buzzy bakery and cafe offering custom-made baked treats, sandwiches, free-trade coffee, wine and yogurt."
99,Jones Bros. Cafe,Central,"2121 S 67th St (Aksarben Village), Omaha, NE 68106",,(402) 884-2253,"Buzzy bakery and cafe offering custom-made baked treats, sandwiches, free-trade coffee, wine and yogurt."
100,Kitchen Table,Downtown / Old Market,"1415 Farnam St, Omaha, NE 68102",,(402) 933-2810,"Touting a ""slow food fast"" approach to their menu's offerings, Kitchen Table offers up made-from-scratch sandwiches, snacks and salads all day using the best local ingredients possible. Stop in for dinner, whether it be for tacos or house-made pasta or pizza; vegetarians welcome. Brunch is served on Sundays, and beer and wine are available on tap."
101,Kobe Steakhouse of Japan,Southwest,"16801 Burke St, Omaha, NE 68118",,(402) 391-1755,Stylish local Japanese steakhouse serving surf 'n' turf grilled tableside & cocktails.
102,Kona Grill,,"Village Pointe, 295 N 170th St, Omaha, NE 68118",omaha@konagrill.com,(480) 429-5428,"Kona Grill provides an exotic escape from the everyday. From the freshest fish for our award winning sushi, to innovative entrees prepared in our scratch kitchen, you can expect nothing but the best every time you visit."
103,Krug Park,Central,"6205 Maple St, Omaha, NE 68104",,(402) 932-0038,Let Krug Park spice up the night with a dozen Bloody Mary concoctions and an array of craft cocktails.  Krug has been listed in Draft Magazine's 100 Best Beer Bars in America three years running.
104,La Buvette,Downtown / Old Market,"511 S 11th St, Omaha, NE 68102",labuvetteomaha@gmail.com,(402) 344-8627,Visit this quaint European-style wine bar in the heart of Omaha’s Old Market Entertainment district.  Choose from an impressive wine selection and an array of French small plates. Pet friendly outdoor areas.
105,La Cabanita Taco Truck,South Omaha,"3121 S 24th St, Omaha, NE 68107",,(402) 706-4517,"Tortas, tacos, burritos, quesadillas and more. Stop by for fast and fresh Mexican food!"
106,La Casa - Leavenworth,Central,"4432 Leavenworth St, Omaha, NE 68105",,(402) 556-6464,"La Casa opened to serve our first pizza in June of 1953. That's more than 60 years of goodness! When you dine in, carry out or even gift one of our pizzas to a friend across the county (yes, we ship frozen pizzas) you can expect the same quality ingredients every time.

Need a place for a group gathering? The La Casa party room is a comfortable space for 25-55 guests. It’s ideal for your business meeting, wedding rehearsal or birthday party. Guests can enjoy a buffet of delicious pizza and pasta with our staff handling all details while you relax. 

From antipasto to hearty lasagna, we have Italian options that won't leave you hungry. Craving cannoli? We make those too."
107,La Casa - S 84th,Southwest,"8216 Grover St, Omaha, NE 68124",,(402) 391-6300,"La Casa opened to serve our first pizza in June of 1953. That's more than 60 years of goodness! When you dine in, carry out or even gift one of our pizzas to a friend across the county (yes, we ship frozen pizzas) you can expect the same quality ingredients every time."
108,La Casa Pizzaria Food Truck,Default Region,"Find Us on Facebook and Twitter for locations, Omaha, NE 68105",,(402) 556-6464,"La Casa Pizzaria's Food Truck is serving pizza by the slice, meatball sandwiches, onion rings, toasted ravioli and more!"
109,La Mesa Mexican Restaurant,Northwest,"11002 Emmet St. Ste 112, Omaha, NE 68164",info@la-mesa.com,(402) 496-1101,"This La Mesa location has been a favorite of many Northwest Omaha customers. Conveniently located one block north of Maple, the newly remodeled restaurant provides an open air, fun atmosphere that is truly La Mesa. There is the feel of traditional Mexico with a gift shop featuring furniture, furnishings and collectibles. All are made in Mexico and are items you won’t find anywhere else. The restaurant has both booth and table seating. The new bar area is a great place to grab a margarita and some chips and salsa! Have a large gathering? No problem, there’s a nice secluded party room waiting for you!"
110,La Purísima - Menudería,South Omaha,"5204 S 28th St, Omaha, NE 68107",,(402) 734-6041,"Family owned business opened on the weekends. Originally from Purísima de Bustos Guanajuato, Mexico, La Purisima sells authentic Mexican food: menudo, pozole, tacos, quesadillas, frijoles and aroz."
111,Lansky's Pizza Pasta & Philly Steaks,Central,"4601 S 50th St, Omaha, NE 68117",,(402) 731-1919,"Philly steak sandwiches and freshly made pizza are Lansky's trademarks. Lansky's also offers a delicious deli sandwiches and homemade pasta dishes. Try Lansky's and you'll see why it has become a household name in Omaha!

Other Locations:

Bellevue, NE
3909 Twin Creek Drive,
Bellevue, NE 68123 
(402)502-0555

Council Bluffs, IA
1131 N. Broadway,
Council Bluffs, IA 51503 
(712)329-5400"
112,Laos Thai Restaurant,South Omaha,"4520 S 24th St, Omaha, NE 68107",,(402) 733-0579,"Laos Thai was established over 20 years ago, here the wonderful flavors of Thailand can be found!"
113,Lazlo's Brewery and Grill,Southwest,"2425 S 192nd Ave, Omaha, NE 68130",,(402) 289-5840,"House-brewed beers include the popular Third Stone Brown, the award-winning LunaSea ESB and the Brewer’s Whim, a limited one-of-a-kind seasonal recipe. Ask the server to help you pair your favorite beer."
